"id","titulo","artista_id"
"1","Coordinate","1"
"2","NC-17","1"
"3","No Bystanders","1"
"4","Da Fonk(feat.Joni)","2"
"5","False Need","2"
"6","Funkytown","13"
"7","Out of Touch","12"
"8","Fascination","11"
"9","I Ran","10"
"10","Pale Shelter","9"
"11","I'm on My Way","8"
"12","Thunder Kiss'65","3"
"13","blitzkrieg bop","4"
"14","For Whom The Bell Tolls","5"
"15","Money(That's What i Want)","14"
"16","Alabama Song (Whisky Bar)","15"
"17","Twentieth Century Fox","15"
"18","Soul Kitchen","15"
"19","Light My Fire","15"
"20","Back Door Man","15"
"21","I Loocked at You","15"
"23","End of the Night","15"
"24","Take it as it Comes","15"
"25","Break on Through(To the Other Side)","15"
"26","Eminence Front","17"
"27","Even Flow","16"
